Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2084,4312.0,22.945448646644422,2,1097,394.8768123981161,22.945448646644422,-33.90557939914163
2085,4492.0,23.912194104560626,4,966,328.0840616597391,23.912194104560626,4.174397031539878
2086,3856.0,20.709909158324063,0,873,339.56799649322704,20.709909158324063,-14.158504007123774
2087,3065.0,16.194840331850205,0,911,325.94825532822716,16.194840331850205,-20.513485477178428
2088,4160.0,22.475551538746757,0,1085,358.50861111335144,22.475551538746757,35.72593800978794
2089,6505.0,34.76481970708195,0,1572,610.9147326804784,34.76481970708195,56.370192307692314
2090,4661.0,24.92167802187616,0,1042,367.6639914460765,24.92167802187616,-28.347425057647968
2091,3585.0,19.52988274008157,1,1285,375.0522690845298,19.52988274008157,-23.08517485518129
2092,7944.0,42.33973512235818,0,1729,714.880536745953,42.33973512235818,121.58995815899583
2093,4355.0,23.17316694475343,0,2021,582.1386055404727,23.17316694475343,-45.17875125881168
2094,5380.0,28.482092371153133,0,2432,680.6455937141034,28.482092371153133,23.5361653272101
2095,4816.0,25.44245921394142,2,1586,549.9298026828405,25.44245921394142,-10.483271375464687
2096,2879.0,15.34319961994809,0,675,235.0599375530085,15.34319961994809,-40.22009966777409
2097,2500.0,13.355771459028553,1,577,220.738155590132,13.355771459028553,-13.164293157346297
2098,2944.0,15.654025305895438,0,721,267.03807468848584,15.654025305895438,17.759999999999998
2099,5021.0,26.54735006488691,0,1734,581.6100628011135,26.54735006488691,70.55027173913044
2100,6114.0,32.40046231924361,0,1750,651.4450371010868,32.40046231924361,21.768571997610042
2006,9759.0,51.37231182795699,0,3569,1130.3716303620117,51.37231182795699,
2007,4689.0,25.41037495365221,0,1588,445.41056137211,25.41037495365221,-51.95204426683062
2008,5140.0,27.745938774564333,0,1949,661.1570207300276,27.745938774564333,9.618255491576022
2009,5111.0,26.947198275862068,15,1546,501.78906440008745,26.947198275862068,-0.5642023346303482
2010,3496.0,18.443096496106786,0,800,282.5620875725074,18.443096496106786,-31.59851301115242
2011,4543.0,24.084300843529846,0,1359,457.14995716212565,24.084300843529846,29.94851258581235
2012,5183.0,27.560912588060813,0,1339,410.2319650533283,27.560912588060813,14.087607307946293
2013,6509.0,34.99607202447164,6,2117,696.1386301766642,34.99607202447164,25.58363881921668
2014,5972.0,31.85042987578791,0,1280,458.4143289314776,31.85042987578791,-8.250115225072975
2015,5251.0,27.777849230626625,5,1572,419.7851091675214,27.777849230626625,-12.073007367716004
2016,8131.0,42.962678439006304,4,2699,785.2475531302022,42.962678439006304,54.84669586745381
2017,5223.0,27.50997636262514,0,1288,500.0582011580798,27.50997636262514,-35.76435862747509
2018,5983.0,31.554261679644046,0,1780,525.9281766265209,31.554261679644046,14.551024315527483
2019,9491.0,51.01905473674454,0,3202,1032.990403751373,51.01905473674454,58.63279291325423
2020,7019.0,37.18533324063775,0,2105,728.8776500811908,37.18533324063775,-26.045727531345484
2021,5229.0,27.705529291805707,8,1195,393.0202689660953,27.705529291805707,-25.50220829177946
2022,9468.0,51.239797691879865,0,3433,1059.9210090636686,51.239797691879865,81.06712564543889
2023,2962.0,15.945234288097886,13,1306,359.595184853325,15.945234288097886,-68.7156738487537
2024,4465.0,24.02061318131257,8,1231,480.7232162128854,24.02061318131257,50.74274139095205
2025,4954.0,26.23234149054505,0,1803,519.1326390911064,26.23234149054505,10.951847704367301
2026,5610.0,29.947204069336298,3,1056,422.2253814342202,29.947204069336298,13.24182478805005
2027,9140.0,49.11323924731183,0,1884,780.5413428376411,49.11323924731183,62.92335115864527
2028,3674.0,19.476345244716352,9,652,223.87367920866495,19.476345244716352,-59.80306345733042
2029,4051.0,21.44853077493511,6,1402,429.8681527955738,21.44853077493511,10.261295590636909
2030,7728.0,41.41173062662218,2,1631,636.6353316102912,41.41173062662218,90.76771167612935
2031,6225.0,33.02895578420467,21,1208,437.72991361423686,33.02895578420467,-19.448757763975156
2032,7024.0,37.217278457545426,0,2171,656.7083666193685,37.217278457545426,12.83534136546185
2033,6988.0,37.88174939747868,11,2055,648.5545233031451,37.88174939747868,-0.5125284738040969
2034,4230.0,22.69939979606971,0,956,332.01108962859,22.69939979606971,-39.46765884373211
2035,3390.0,17.999843576195772,7,795,266.6910026774261,17.999843576195772,-19.85815602836879
2036,5728.0,30.21811271783463,0,1337,453.33979496286184,30.21811271783463,68.96755162241888
2037,6735.0,35.54614502224695,12,1890,674.6558887179583,35.54614502224695,17.58030726256983
2038,4179.0,22.179145810159437,0,1001,400.2751610398209,22.179145810159437,-37.95100222717149
2039,7442.0,39.322934047089355,0,2991,823.7659457232578,39.322934047089355,78.0808805934434
2040,5286.0,28.972660595105676,0,2302,637.295065099362,28.972660595105676,-28.970706799247516
2041,4340.0,23.097562106043753,0,1222,415.8717751102296,23.097562106043753,-17.896329928112
2042,5083.0,26.708200083426032,0,1347,464.6583218458549,26.708200083426032,17.119815668202776
2043,6471.0,34.45579579162032,19,1718,580.8417285598235,34.45579579162032,27.306708636631917
2044,5320.0,28.132068038561368,1,1308,418.73539775535255,28.132068038561368,-17.787049915005404
2045,5415.0,29.211600852799403,9,1689,540.7644630941039,29.211600852799403,1.7857142857142794
2046,6091.0,32.643765063033,0,2087,661.4605682376941,32.643765063033,12.483841181902132
2047,5349.0,28.26517310901001,0,2157,596.5927688282701,28.26517310901001,-12.18190773272041
2048,4962.0,26.443108083055247,1,1428,460.600102632918,26.443108083055247,-7.234997195737525
2049,6891.0,37.80327099555061,5,3287,937.1759439934425,37.80327099555061,38.87545344619105
2050,4844.0,25.582875648869116,0,1488,426.88114874226426,25.582875648869116,-29.705412857350165
2051,4855.0,26.076074110122352,6,1130,410.02160881710813,26.076074110122352,0.22708505367465825
2052,2872.0,15.250399749721913,0,1063,346.9451969648372,15.250399749721913,-40.844490216271886
2053,5244.0,28.186503522432332,3,1170,462.7217895728,28.186503522432332,82.59052924791087
2054,6916.0,36.619478819058216,0,2187,644.3213954278258,36.619478819058216,31.8840579710145
2055,3793.0,20.107208240637746,0,893,270.78990794049963,20.107208240637746,-45.15615962984384
2056,6378.0,34.253962736373744,0,1905,662.3524878656516,34.253962736373744,68.15185868705511
2057,5700.0,30.178560669262144,5,1611,488.0642655150316,30.178560669262144,-10.630291627469424
2058,4411.0,23.37779824805339,1,2207,602.6415274489973,23.37779824805339,-22.614035087719298
2059,3703.0,19.647675658138674,0,1245,349.90062442027306,19.647675658138674,-16.050782135570163
2060,4496.0,23.81305038005191,0,1161,422.46642326684236,23.81305038005191,21.415068863083995
